x,y,z,
0.0625,1.08154,0.108398,
0.0566406,1.099,0.104065,
0.069519,1.12561,0.0736694,
0.161255,1.27844,0.0219116,
0.307678,1.39069,-6.10352e-05,
0.361633,1.45911,-0.0125122,
0.30127,1.44165,0.012085,
0.114746,1.48846,0.0930176,
0.154968,1.4566,0.120728,
0.182983,1.3277,0.121643,
0.195374,1.15088,0.0882568,
0.111877,0.996521,0.0290527,
0.0447998,0.887939,-0.0466919,
0.0911255,0.841431,-0.0856323,
0.108826,0.802979,-0.081604,
0.10675,0.763,-0.0606689,
0.0455933,0.718567,-0.0339966,
-0.0194092,0.716309,-0.0203857,
0.0328979,0.719727,0.0114136,
0.0966797,0.752625,0.0656128,
0.0759888,0.771973,0.0870361,
0.0775757,0.756409,0.0777588,
0.0493164,0.761963,0.0678101,
0.092041,0.739075,0.0499268,
0.115112,0.760681,0.0415039,
0.117676,0.791687,0.0487061,
0.144348,0.809021,0.050354,
0.220032,0.830017,0.0536499,
0.253906,0.914856,0.0480957,
0.22052,1.02539,0.0513306,
0.174316,1.15076,0.0847778,
0.237,1.17157,0.129089,
0.270325,1.12903,0.100403,
0.30603,1.2403,0.0782471,
0.285706,1.40308,0.0480957,
0.251343,1.51093,0.043335,
0.267029,1.51337,0.039856,
0.253662,1.36292,0.0338745,
0.180054,1.16516,0.0137329,
0.0998535,1.01819,0.0107422,
0.0333862,0.985779,0.0413208,
0.0188599,0.992676,0.0621948,
0.00262451,0.993103,0.0564575,
-0.0211792,0.91156,0.050415,
-0.0703125,0.792969,0.0550537,
-0.09375,0.673645,0.0539551,
-0.0901489,0.599182,0.0328979,
-0.0771484,0.599243,0.0390625,
-0.0652466,0.661926,0.0842285,
-0.0581665,0.726624,0.114258,
-0.0430908,0.773438,0.102844,
-0.0273438,0.812012,0.0796509,
0.0199585,0.847717,0.0983276,
0.046936,0.894958,0.137573,
0.0665894,0.925232,0.178528,
0.0734253,0.911987,0.173584,
0.10675,0.922424,0.17804,
0.144775,0.994141,0.190552,
0.180481,1.13611,0.171997,
0.236206,1.2478,0.152588,
0.294067,1.24713,0.161621,
0.27533,1.16119,0.144165,
0.277832,1.1441,0.160034,
0.203003,1.31079,0.183777,
0.176697,1.46271,0.251587,
0.217712,1.42761,0.262634,
0.16925,1.29602,0.160034,
0.0953369,1.14722,0.0599976,
0.0803223,1.02094,-0.0270996,
0.123535,0.894836,-0.0617676,
0.119446,0.747559,-0.0612183,
0.055481,0.650635,-0.0517578,
0.0508423,0.596619,-0.0644531,
0.113586,0.603638,-0.0343628,
0.111267,0.673767,0.00280762,
0.148376,0.677979,0.0663452,
0.0932007,0.711792,0.0946655,
0.0827637,0.790894,0.147705,
0.111328,0.880066,0.201721,
0.137085,0.9198,0.200562,
0.161072,0.940918,0.192261,
0.1604,0.975891,0.218262,
0.135315,0.985596,0.233154,
0.177856,0.947327,0.220154,
0.21051,0.937988,0.191467,
0.241821,0.984192,0.170715,
0.249756,1.0567,0.151794,
0.296204,1.0827,0.148621,
0.333008,1.03516,0.134644,
0.303101,1.04614,0.154358,
0.258667,1.13824,0.199951,
0.244263,1.27515,0.239258,
0.258972,1.28503,0.253479,
0.244751,1.11725,0.205261,
0.210205,0.90332,0.141174,
0.213318,0.789062,0.0916748,
0.211975,0.79126,0.0900269,
0.228394,0.875916,0.106384,
0.212585,0.932556,0.110352,
0.154236,0.93457,0.130859,
0.112732,0.931519,0.160034,
0.0916138,0.905212,0.181946,
0.0667725,0.845703,0.174438,
0.0469971,0.800598,0.173584,
0.0352783,0.754822,0.169983,
0.0604858,0.73584,0.162109,
0.0524902,0.746155,0.173218,
0.0361328,0.754883,0.184326,
0.0296021,0.749512,0.174927,
0.062439,0.757874,0.161194,
0.1026,0.813965,0.168518,
0.123108,0.88446,0.184814,
0.148193,0.927673,0.193176,
0.180481,0.998901,0.185608,
0.192505,1.03229,0.188965,
0.155273,1.08081,0.182129,
0.151794,1.17627,0.185059,
0.203064,1.26447,0.172729,
0.241638,1.35657,0.155884,
0.248474,1.45355,0.136536,
0.231384,1.53119,0.150269,
0.17926,1.495,0.177307,
0.125793,1.2887,0.184143,
